Country Name,Country Code,GNP GNI per capita 2022
Aruba,ABW,NA
Africa Eastern and Southern,AFE,1542.26098460035
Afghanistan,AFG,NA
Africa Western and Central,AFW,1779.43139024814
Angola,AGO,1900
Albania,ALB,6770
Andorra,AND,NA
Arab World,ARB,7007.23425866129
United Arab Emirates,ARE,48950
Argentina,ARG,11620
Armenia,ARM,5960
American Samoa,ASM,NA
Antigua and Barbuda,ATG,18280
Australia,AUS,60430
Austria,AUT,56140
Azerbaijan,AZE,5630
Burundi,BDI,240
Belgium,BEL,48700
Benin,BEN,1400
Burkina Faso,BFA,840
Bangladesh,BGD,2820
Bulgaria,BGR,13250
Bahrain,BHR,27180
"Bahamas, The",BHS,31530
Bosnia and Herzegovina,BIH,7660
Belarus,BLR,7240
Belize,BLZ,6800
Bermuda,BMU,125240
Bolivia,BOL,3450
Brazil,BRA,8140
Barbados,BRB,19350
Brunei Darussalam,BRN,31410
Bhutan,BTN,NA
Botswana,BWA,7350
Central African Republic,CAF,480
Canada,CAN,52960
Central Europe and the Baltics,CEB,19272.3805042222
Switzerland,CHE,89450
Channel Islands,CHI,NA
Chile,CHL,15360
China,CHN,12850
Cote d'Ivoire,CIV,2620
Cameroon,CMR,1660
"Congo, Dem. Rep.",COD,590
"Congo, Rep.",COG,2060
Colombia,COL,6510
Comoros,COM,1610
Cabo Verde,CPV,4140
Costa Rica,CRI,12670
Caribbean small states,CSS,11292.2042589116
Cuba,CUB,NA
Curacao,CUW,NA
Cayman Islands,CYM,NA
Cyprus,CYP,30540
Czechia,CZE,26590
Germany,DEU,53390
Djibouti,DJI,3180
Dominica,DMA,8460
Denmark,DNK,73200
Dominican Republic,DOM,9050
Algeria,DZA,3900
East Asia & Pacific (excluding high income),EAP,10039.7016392806
Early-demographic dividend,EAR,3949.44553957169
East Asia & Pacific,EAS,13485.4697416151
Europe & Central Asia (excluding high income),ECA,9221.17707037582
Europe & Central Asia,ECS,28229.3422839361
Ecuador,ECU,6310
"Egypt, Arab Rep.",EGY,4100
Euro area,EMU,43741.9204236809
Eritrea,ERI,NA
Spain,ESP,31680
Estonia,EST,27640
Ethiopia,ETH,1020
European Union,EUU,39676.226426457
Fragile and conflict affected situations,FCS,1805.00533000496
Finland,FIN,54360
Fiji,FJI,5270
France,FRA,45860
Faroe Islands,FRO,NA
"Micronesia, Fed. Sts.",FSM,4130
Gabon,GAB,7540
United Kingdom,GBR,48890
Georgia,GEO,5620
Ghana,GHA,2350
Gibraltar,GIB,NA
Guinea,GIN,1180
"Gambia, The",GMB,810
Guinea-Bissau,GNB,820
Equatorial Guinea,GNQ,5320
Greece,GRC,21740
Grenada,GRD,9340
Greenland,GRL,NA
Guatemala,GTM,5350
Guam,GUM,NA
Guyana,GUY,15050
High income,HIC,51087.1321143701
"Hong Kong SAR, China",HKG,54370
Honduras,HND,2740
Heavily indebted poor countries (HIPC),HPC,1066.96167946869
Croatia,HRV,19470
Haiti,HTI,1610
Hungary,HUN,19010
IBRD only,IBD,7485.70865986895
IDA & IBRD total,IBT,5863.64242234881
IDA total,IDA,1531.16112060361
IDA blend,IDB,1913.04526896864
Indonesia,IDN,4580
IDA only,IDX,1342.98657063666
Isle of Man,IMN,NA
India,IND,2380
Not classified,INX,NA
Ireland,IRL,81070
"Iran, Islamic Rep.",IRN,3900
Iraq,IRQ,5270
Iceland,ISL,68220
Israel,ISR,54650
Italy,ITA,37700
Jamaica,JAM,5670
Jordan,JOR,4260
Japan,JPN,42440
Kazakhstan,KAZ,9470
Kenya,KEN,2170
Kyrgyz Republic,KGZ,1410
Cambodia,KHM,1700
Kiribati,KIR,3280
St. Kitts and Nevis,KNA,19730
"Korea, Rep.",KOR,35990
Kuwait,KWT,39570
Latin America & Caribbean (excluding high income),LAC,8148.55945249647
Lao PDR,LAO,2360
Lebanon,LBN,NA
Liberia,LBR,680
Libya,LBY,7260
St. Lucia,LCA,11160
Latin America & Caribbean,LCN,8687.79686338251
Least developed countries: UN classification,LDC,1225.16216887651
Low income,LIC,721.116479547011
Liechtenstein,LIE,NA
Sri Lanka,LKA,3610
Lower middle income,LMC,2517.45169591388
Low & middle income,LMY,5668.95353239649
Lesotho,LSO,1260
Late-demographic dividend,LTE,11771.6764216333
Lithuania,LTU,23690
Luxembourg,LUX,91200
Latvia,LVA,21500
"Macao SAR, China",MAC,NA
St. Martin (French part),MAF,NA
Morocco,MAR,3710
Monaco,MCO,NA
Moldova,MDA,5340
Madagascar,MDG,510
Maldives,MDV,11030
Middle East & North Africa,MEA,8282.66266391925
Mexico,MEX,10410
Marshall Islands,MHL,7920
Middle income,MIC,6251.48199763012
North Macedonia,MKD,6640
Mali,MLI,850
Malta,MLT,33550
Myanmar,MMR,1210
Middle East & North Africa (excluding high income),MNA,3742.35951289804
Montenegro,MNE,10400
Mongolia,MNG,4210
Northern Mariana Islands,MNP,NA
Mozambique,MOZ,500
Mauritania,MRT,2160
Mauritius,MUS,10760
Malawi,MWI,640
Malaysia,MYS,11780
North America,NAC,73933.6875724079
Namibia,NAM,4880
New Caledonia,NCL,NA
Niger,NER,610
Nigeria,NGA,2140
Nicaragua,NIC,2090
Netherlands,NLD,57430
Norway,NOR,95510
Nepal,NPL,1340
Nauru,NRU,17870
New Zealand,NZL,48460
OECD members,OED,44885.922969137
Oman,OMN,20150
Other small states,OSS,14022.1906479735
Pakistan,PAK,1580
Panama,PAN,16750
Peru,PER,6770
Philippines,PHL,3950
Palau,PLW,NA
Papua New Guinea,PNG,2730
Poland,POL,18350
Pre-demographic dividend,PRE,1458.21138778101
Puerto Rico,PRI,24560
"Korea, Dem. People's Rep.",PRK,NA
Portugal,PRT,25800
Paraguay,PRY,5920
West Bank and Gaza,PSE,4610
Pacific island small states,PSS,4083.75500468467
Post-demographic dividend,PST,52456.0165763947
French Polynesia,PYF,NA
Qatar,QAT,70500
Romania,ROU,15660
Russian Federation,RUS,12830
Rwanda,RWA,930
South Asia,SAS,2277.56689093312
Saudi Arabia,SAU,27590
Sudan,SDN,760
Senegal,SEN,1640
Singapore,SGP,67200
Solomon Islands,SLB,2220
Sierra Leone,SLE,510
El Salvador,SLV,4720
San Marino,SMR,NA
Somalia,SOM,470
Serbia,SRB,9140
Sub-Saharan Africa (excluding high income),SSA,1637.22735819072
South Sudan,SSD,NA
Sub-Saharan Africa,SSF,1638.27719510139
Small states,SST,12943.6150942958
Sao Tome and Principe,STP,2410
Suriname,SUR,4880
Slovak Republic,SVK,22060
Slovenia,SVN,30600
Sweden,SWE,62990
Eswatini,SWZ,3800
Sint Maarten (Dutch part),SXM,NA
Seychelles,SYC,14340
Syrian Arab Republic,SYR,NA
Turks and Caicos Islands,TCA,24160
Chad,TCD,690
East Asia & Pacific (IDA & IBRD countries),TEA,10151.4449236509
Europe & Central Asia (IDA & IBRD countries),TEC,10322.4745315433
Togo,TGO,990
Thailand,THA,7230
Tajikistan,TJK,1210
Turkmenistan,TKM,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,8556.077947032
Timor-Leste,TLS,1970
Middle East & North Africa (IDA & IBRD countries),TMN,3731.87109791398
Tonga,TON,NA
South Asia (IDA & IBRD),TSA,2277.56689093312
Sub-Saharan Africa (IDA & IBRD countries),TSS,1638.27719510139
Trinidad and Tobago,TTO,16330
Tunisia,TUN,3840
Turkiye,TUR,10590
Tuvalu,TUV,7210
Tanzania,TZA,1200
Uganda,UGA,930
Ukraine,UKR,4270
Upper middle income,UMC,10529.8802025517
Uruguay,URY,18030
United States,USA,76370
Uzbekistan,UZB,2190
St. Vincent and the Grenadines,VCT,9110
"Venezuela, RB",VEN,NA
British Virgin Islands,VGB,NA
Virgin Islands (U.S.),VIR,NA
Vietnam,VNM,4010
Vanuatu,VUT,3560
World,WLD,12803.8721474642
Samoa,WSM,3630
Kosovo,XKX,5590
"Yemen, Rep.",YEM,NA
South Africa,ZAF,6780
Zambia,ZMB,1170
Zimbabwe,ZWE,1500
